Transaction_ID,Order_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Order_Date,Order_Time,Sales_Channel
T02016694,O0116694,C01482,Sophia Smith,28.0,Male,Consumer,2022-10-06,11:30:55,Online
T02016374,O0108187,C01591,Hannah King,46.0,Female,Consumer,2024-06-03,17:06:29,Online
T02004099,O0104099,C04140,Emma Wilson,42.0,Male,Consumer,2024-12-19,08:22:11,Online
T02010280,O0110280,C03663,Daniel Clark,18.0,Male,Corporate,2025-10-05,14:32:43,B2B Portal
T02012685,O0112685,C02749,Sophia Smith,37.0,Male,Returning Customer,2022-09-13,14:55:16,B2B Portal
T02003704,O0101852,C00959,Mia Miller,42.0,Non-binary,Corporate,2023-03-27,10:40:05,Retail Store
T02016542,O0116542,C02232,Evelyn Adams,46.0,Female,New Customer,2022-07-25,14:32:42,Online
T02013460,O0113460,C00719,Olivia Walker,44.0,Female,Consumer,2024-02-20,03:57:57,Online
T02001029,O0101029,C01511,Emily Moore,54.0,Female,Consumer,2024-12-25,11:38:30,Online
T02001635,O0101635,C04415,Freya Williams,49.0,Female,Consumer,2022-01-18,08:37:21,B2B Portal
T02017821,O0117821,C04919,Hannah King,42.0,Male,Consumer,2022-12-31,21:24:18,Online
T02005146,O0105146,C01532,Lily Allen,22.0,Female,Consumer,2023-02-08,12:20:06,Retail Store
T02004937,O0104937,C00848,Samuel Nelson,48.0,Male,Consumer,2022-12-05,22:08:10,Online
T02004775,O0104775,C03391,Oscar Adams,34.0,Female,Consumer,2024-09-03,16:57:56,Online
T02003373,O0103373,C01145,Ella Allen,32.0,Female,Returning Customer,2022-02-24,21:22:53,Online
T02017546,O0117546,C00294,Alexander Smith,39.0,Male,Corporate,2025-05-03,11:11:09,Online
T02007214,O0107214,C01930,Amelia Johnson,50.0,Male,Consumer,2023-10-20,17:51:39,Retail Store
T02010877,O0105438,C03537,Nora King,37.0,Male,Small Business,2024-12-20,16:43:23,Online
T02010845,O0110845,C03484,Grace Davis,42.0,Male,Consumer,2025-11-25,18:37:46,Online
T02000770,O0100770,C00408,Theo Adams,27.0,Male,Consumer,2023-12-16,15:03:08,Retail Store
T02015674,O0115674,C02569,Hannah Thomas,47.0,Female,Corporate,2023-01-20,11:27:54,Retail Store
T02002094,O0102094,C03617,Lily Moore,39.0,Male,Premium,2022-09-30,13:27:59,Retail Store
T02012915,O0112915,C00818,Amelia Jackson,26.0,Female,Returning Customer,2025-01-29,12:39:26,Retail Store
T02006472,O0106472,C00178,Hannah Walker,35.0,Female,Consumer,2022-09-03,02:52:51,Online
